X,Y,ASCII,Foreground,Background
0,0,6,#008000,#000000
1,0,6,#008000,#000000
2,0,6,#008000,#000000
3,0,6,#008000,#000000
4,0,6,#008000,#000000
5,0,6,#008000,#000000
6,0,127,#BC8F8F,#000000
7,0,94,#A0522D,#000000
8,0,94,#A0522D,#000000
9,0,94,#A0522D,#000000
10,0,94,#A0522D,#000000
11,0,94,#A0522D,#000000
12,0,94,#A0522D,#000000
13,0,94,#A0522D,#000000
14,0,127,#BC8F8F,#000000
15,0,94,#A0522D,#000000
16,0,94,#A0522D,#000000
17,0,94,#A0522D,#000000
18,0,94,#A0522D,#000000
19,0,94,#A0522D,#000000
20,0,30,#FFFFFF,#000000
21,0,94,#A0522D,#000000
22,0,94,#A0522D,#000000
23,0,94,#A0522D,#000000
24,0,94,#A0522D,#000000
25,0,94,#A0522D,#000000
26,0,94,#A0522D,#000000
27,0,94,#A0522D,#000000
28,0,94,#A0522D,#000000
29,0,94,#A0522D,#000000
30,0,94,#A0522D,#000000
31,0,234,#D3D3D3,#000000
32,0,94,#A0522D,#000000
33,0,94,#A0522D,#000000
34,0,94,#A0522D,#000000
35,0,94,#A0522D,#000000
36,0,94,#A0522D,#000000
37,0,94,#A0522D,#000000
38,0,94,#A0522D,#000000
39,0,94,#A0522D,#000000
40,0,94,#A0522D,#000000
41,0,30,#FFFFFF,#000000
42,0,94,#A0522D,#000000
43,0,94,#A0522D,#000000
44,0,94,#A0522D,#000000
45,0,94,#A0522D,#000000
46,0,94,#A0522D,#000000
47,0,94,#A0522D,#000000
48,0,94,#A0522D,#000000
49,0,94,#A0522D,#000000
50,0,94,#A0522D,#000000
51,0,94,#A0522D,#000000
52,0,127,#BC8F8F,#000000
53,0,46,#228B22,#000000
54,0,46,#228B22,#000000
55,0,247,#1E90FF,#000000
56,0,247,#1E90FF,#000000
57,0,247,#1E90FF,#000000
58,0,247,#1E90FF,#000000
59,0,247,#1E90FF,#000000
60,0,247,#1E90FF,#000000
61,0,247,#1E90FF,#000000
62,0,247,#1E90FF,#000000
63,0,247,#1E90FF,#000000
0,1,6,#008000,#000000
1,1,6,#008000,#000000
2,1,127,#BC8F8F,#000000
3,1,127,#BC8F8F,#000000
4,1,127,#BC8F8F,#000000
5,1,94,#A0522D,#000000
6,1,94,#A0522D,#000000
7,1,94,#A0522D,#000000
8,1,127,#BC8F8F,#000000
9,1,127,#BC8F8F,#000000
10,1,127,#BC8F8F,#000000
11,1,127,#BC8F8F,#000000
12,1,127,#BC8F8F,#000000
13,1,94,#A0522D,#000000
14,1,94,#A0522D,#000000
15,1,94,#A0522D,#000000
16,1,94,#A0522D,#000000
17,1,94,#A0522D,#000000
18,1,94,#A0522D,#000000
19,1,94,#A0522D,#000000
20,1,94,#A0522D,#000000
21,1,94,#A0522D,#000000
22,1,94,#A0522D,#000000
23,1,94,#A0522D,#000000
24,1,94,#A0522D,#000000
25,1,30,#FFFFFF,#000000
26,1,94,#A0522D,#000000
27,1,94,#A0522D,#000000
28,1,94,#A0522D,#000000
29,1,94,#A0522D,#000000
30,1,94,#A0522D,#000000
31,1,186,#D3D3D3,#000000
32,1,127,#BC8F8F,#000000
33,1,94,#A0522D,#000000
34,1,94,#A0522D,#000000
35,1,94,#A0522D,#000000
36,1,94,#A0522D,#000000
37,1,94,#A0522D,#000000
38,1,94,#A0522D,#000000
39,1,94,#A0522D,#000000
40,1,94,#A0522D,#000000
41,1,94,#A0522D,#000000
42,1,94,#A0522D,#000000
43,1,94,#A0522D,#000000
44,1,94,#A0522D,#000000
45,1,94,#A0522D,#000000
46,1,94,#A0522D,#000000
47,1,94,#A0522D,#000000
48,1,94,#A0522D,#000000
49,1,94,#A0522D,#000000
50,1,94,#A0522D,#000000
51,1,94,#A0522D,#000000
52,1,94,#A0522D,#000000
53,1,127,#BC8F8F,#000000
54,1,46,#228B22,#000000
55,1,46,#228B22,#000000
56,1,247,#1E90FF,#000000
57,1,247,#1E90FF,#000000
58,1,247,#1E90FF,#000000
59,1,247,#1E90FF,#000000
60,1,247,#1E90FF,#000000
61,1,46,#228B22,#000000
62,1,46,#228B22,#000000
63,1,247,#1E90FF,#000000
0,2,6,#008000,#000000
1,2,6,#008000,#000000
2,2,127,#BC8F8F,#000000
3,2,94,#A0522D,#000000
4,2,94,#A0522D,#000000
5,2,94,#A0522D,#000000
6,2,127,#BC8F8F,#000000
7,2,127,#BC8F8F,#000000
8,2,127,#BC8F8F,#000000
9,2,127,#BC8F8F,#000000
10,2,127,#BC8F8F,#000000
11,2,127,#BC8F8F,#000000
12,2,127,#BC8F8F,#000000
13,2,127,#BC8F8F,#000000
14,2,127,#BC8F8F,#000000
15,2,94,#A0522D,#000000
16,2,94,#A0522D,#000000
17,2,94,#A0522D,#000000
18,2,94,#A0522D,#000000
19,2,127,#BC8F8F,#000000
20,2,127,#BC8F8F,#000000
21,2,94,#A0522D,#000000
22,2,94,#A0522D,#000000
23,2,94,#A0522D,#000000
24,2,127,#BC8F8F,#000000
25,2,127,#BC8F8F,#000000
26,2,127,#BC8F8F,#000000
27,2,127,#BC8F8F,#000000
28,2,127,#BC8F8F,#000000
29,2,127,#BC8F8F,#000000
30,2,127,#BC8F8F,#000000
31,2,186,#D3D3D3,#000000
32,2,46,#228B22,#000000
33,2,127,#BC8F8F,#000000
34,2,127,#BC8F8F,#000000
35,2,127,#BC8F8F,#000000
36,2,127,#BC8F8F,#000000
37,2,94,#A0522D,#000000
38,2,127,#BC8F8F,#000000
39,2,127,#BC8F8F,#000000
40,2,127,#BC8F8F,#000000
41,2,127,#BC8F8F,#000000
42,2,127,#BC8F8F,#000000
43,2,127,#BC8F8F,#000000
44,2,234,#D3D3D3,#000000
45,2,127,#BC8F8F,#000000
46,2,127,#BC8F8F,#000000
47,2,127,#BC8F8F,#000000
48,2,127,#BC8F8F,#000000
49,2,127,#BC8F8F,#000000
50,2,127,#BC8F8F,#000000
51,2,127,#BC8F8F,#000000
52,2,127,#BC8F8F,#000000
53,2,127,#BC8F8F,#000000
54,2,46,#228B22,#000000
55,2,46,#228B22,#000000
56,2,247,#1E90FF,#000000
57,2,247,#1E90FF,#000000
